word,count
demonstrators,1
"20,000",1
protesters,2
"gathered,",1
clashing,2
riot,1
delicacies,1
num,1
banhchok,1
"(នំបញ្ចុក),",1
amok,1
(អាម៉ុកត្រី),1
aping,1
(អាពីង),1
repatriation,1
reduced,2
vietnamese,16
"250,000",1
"300,000",1
1969,2
"56,000",1
1984,1
paddy,1
central,8
provides,2
regulatory,3
oversight,2
banking,3
direct,4
investment,4
inflation,1
khmers,3
near,1
contiguous,1
diagonal,1
"arc,",1
modern-day,2
"thailand,",2
"laos,",1
meet,1
"northwest,",3
mouth,1
southeastern,1
seek,1
"histories,",1
art,4
"artifacts,",1
ecological,2
markers,1
"recently,",2
"21,",1
members,5
security,3
ruc,1
"games,",3
advent,2
good,2
friday,1
agreement,1
removal,1
distinct,5
seasons,1
younger,2
neighbouring,3
"kingdoms,",1
sacked,1
ayutthaya,1
abandoned,1
1432,1
failure,1
breakdown,1
(km2),1
(2019),1
serei,1
